freq (Hz),ISL (dB)
818.262,29.2176
818.935,29.0668
819.608,28.8472
820.28,28.5954
820.953,28.6707
821.626,28.4795
822.299,28.4575
822.972,28.4842
823.645,27.9845
824.318,28.2931
824.991,29.0856
825.664,28.4119
826.337,28.71
827.01,28.9512
827.682,28.6038
828.355,29.1205
829.028,29.1673
829.701,28.4649
830.374,27.795
831.047,28.2277
831.72,28.8056
832.393,29.2578
833.066,31.7213
833.739,33.2726
834.412,32.6104
835.085,30.4287
835.757,29.3186
836.43,30.1491
837.103,28.8538
837.776,28.8676
838.449,29.1878
839.122,28.7508
839.795,27.6183
840.468,28.472
841.141,28.5588
841.814,27.936
842.487,28.2082
843.159,28.7602
843.832,27.859
844.505,28.1697
845.178,29.224
845.851,28.6543
846.524,28.7979
847.197,27.8278
847.87,28.174
848.543,28.1947
849.216,28.6273
849.889,28.1955
850.562,28.5851
851.234,28.9915
851.907,29.1393
852.58,28.3842
853.253,28.0957
853.926,28.4624
854.599,28.1305
855.272,27.8632
855.945,27.3603
856.618,28.0787
857.291,28.5264
857.964,28.3723
858.636,28.449
859.309,27.9851
859.982,28.3221
860.655,27.9072
861.328,27.617
862.001,27.6252
862.674,28.4834
863.347,28.3227
864.02,28.3424
864.693,28.1705
865.366,28.3667
866.039,29.6313
866.711,29.1193
867.384,28.173
868.057,29.9494
868.73,30.2994
869.403,29.2116
870.076,29.9899
870.749,29.9302
871.422,29.0004
872.095,28.3548
872.768,28.9421
873.441,29.1898
874.113,28.1702
874.786,29.5554
875.459,30.2733
876.132,30.38
876.805,29.2927
877.478,29.0997
878.151,28.8763
878.824,29.1731
879.497,30.0557
880.17,30.2028
880.843,29.518
881.516,31.4942
882.188,35.1713
882.861,35.837
883.534,37.2062
884.207,36.0884
884.88,35.4618
885.553,32.3811
886.226,31.5211
886.899,30.4721
887.572,30.7062
888.245,30.2127
888.918,29.3068
889.59,29.8224
890.263,30.208
890.936,28.5707
891.609,29.2196
892.282,29.1344
892.955,29.8562
893.628,29.6851
894.301,28.1669
894.974,28.3902
895.647,28.9172
896.32,29.3141
896.992,27.6598
897.665,28.6397
898.338,28.9949
899.011,28.6978
899.684,27.732
900.357,27.5117
901.03,28.1508
901.703,28.1822
902.376,28.4892
903.049,27.7059
903.722,27.9916
904.395,28.5241
905.067,29.6674
905.74,28.1779
906.413,28.457
907.086,28.6749
907.759,27.7478
908.432,27.8908
909.105,27.1368
909.778,27.0524
910.451,27.2477
911.124,28.5498
911.797,27.468
912.469,27.7914
913.142,27.9737
913.815,27.8198
914.488,28.0209
915.161,27.5102
915.834,28.1707
916.507,27.4972
917.18,27.7905
917.853,29.0974
918.526,28.8615
919.199,30.2569
919.872,30.3964
920.544,28.7944
921.217,28.9792
921.89,28.8502
922.563,28.3192
923.236,27.8637
923.909,28.9417
924.582,27.725
925.255,27.5707
925.928,29.425
926.601,28.7433
927.274,29.842
927.946,31.0429
928.619,29.8575
929.292,30.6287
929.965,29.054
930.638,29.5411
931.311,30.2844
931.984,30.2485
932.657,30.081
933.33,31.9293
934.003,32.9332
934.676,33.6721
935.349,35.2226
936.021,35.6903
936.694,36.429
937.367,36.2807
938.04,33.754
938.713,31.7525
939.386,31.1699
940.059,30.5134
940.732,29.5447
941.405,30.118
942.078,29.7795
942.751,28.9979
943.423,28.9066
944.096,29.2637
944.769,28.9388
945.442,28.9864
946.115,27.9176
946.788,27.8405
947.461,29.2992
948.134,27.2599
948.807,27.8251
949.48,28.2375
950.153,27.9041
950.826,26.8048
951.498,27.937
952.171,27.9357
952.844,27.9138
953.517,28.0317
954.19,28.5824
954.863,28.7606
955.536,28.0681
956.209,27.8457
956.882,27.7408
957.555,27.3778
958.228,27.9322
958.9,27.9183
959.573,27.6041
960.246,28.2463
960.919,28.2277
961.592,27.5757
962.265,27.7876
962.938,27.9623
963.611,28.5444
964.284,28.8177
964.957,28.1373
965.63,28.3019
966.302,28.6689
966.975,28.0423
967.648,28.362
968.321,27.9414
968.994,27.8747
969.667,28.0034
970.34,27.911
971.013,27.7667
971.686,28.0187
972.359,27.5718
973.032,28.5349
973.705,28.264
974.377,27.7934
975.05,28.3995
975.723,28.2999
976.396,28.7454
977.069,28.35
977.742,27.1534
978.415,27.6904
979.088,28.5084
979.761,28.7405
980.434,29.4051
981.107,30.2303
981.779,30.0808
982.452,29.3199
983.125,31.2715
983.798,31.5269
984.471,31.323
985.144,31.6448
985.817,31.2336
986.49,31.4091
987.163,30.9355
987.836,31.3848
988.509,31.9147
989.182,32.1287
989.854,34.6564
990.527,35.4845
991.2,37.6232
991.873,38.934
992.546,38.5727
993.219,38.2325
993.892,36.1484
994.565,34.5793
995.238,33.5819
995.911,31.4847
996.584,30.6029
997.256,29.3438
997.929,29.9181
998.602,29.9744
999.275,29.5955
999.948,29.6667
1000.62,28.8862
1001.29,29.0853
1001.97,28.4757
1002.64,29.7198
1003.31,29.2027
1003.99,28.7954
1004.66,28.252
1005.33,28.6591
1006,28.1302
1006.68,28.4893
1007.35,28.7363
1008.02,29.0638
1008.7,28.7089
1009.37,29.5832
1010.04,30.163
1010.71,28.9076
1011.39,29.4821
1012.06,29.5217
1012.73,29.2247
1013.41,29.3842
1014.08,29.5038
1014.75,29.4743
1015.43,29.1831
1016.1,29.831
1016.77,29.7816
1017.44,27.8713
1018.12,28.4151
1018.79,29.1327
1019.46,29.2713
1020.14,29.298
1020.81,28.3814
1021.48,28.6624
1022.15,28.4926
1022.83,29.1659
1023.5,30.1241
1024.17,30.422
1024.85,29.8899
1025.52,28.7275
1026.19,28.6326
1026.86,30.2986
1027.54,29.709
1028.21,28.9724
1028.88,30.0966
1029.56,29.639
1030.23,30.3273
1030.9,32.3705
1031.58,33.0368
1032.25,33.9225
1032.92,34.0143
1033.59,33.4854
1034.27,31.5926
1034.94,28.8894
1035.61,28.9744
1036.29,29.835
1036.96,30.2411
1037.63,30.5396
1038.3,28.9962
1038.98,28.9521
1039.65,29.6364
